accuracy,precision,recall,f1,roc_auc,pr_auc,support_positive,support_negative,model,experiment,n_features,seed,ablated_feature,delta_f1,delta_roc_auc
0.97075,0.9984301412872841,0.9436201780415431,0.9702517162471396,0.9940746580336222,0.9949295894405794,2022,1978,gradient_boosting,compliance_violation_early_warning,9,45,any_valid_after_reissue_so_far,0.00026188918711922415,8.213493832753826e-05
0.95275,0.9761038961038961,0.9292779426310583,0.952115530782873,0.986658635694919,0.9893453315752851,2022,1978,logistic_regression,compliance_violation_early_warning,9,45,any_valid_near_or_after_ttl_so_far,-0.00098966566833103,-0.0021592612706139436
0.9705,0.9984293193717277,0.9431256181998022,0.9699898270600203,0.9940727828067196,0.9948725218041529,2022,1978,gradient_boosting,compliance_violation_early_warning,9,45,any_valid_near_or_after_ttl_so_far,0.0,8.025971142500143e-05
0.94175,0.9690613529103304,0.913946587537092,0.9406973784678035,0.9859793034957229,0.9880937792527388,2022,1978,logistic_regression,compliance_violation_early_warning,9,45,mean_invalid_attempt_gap_s,-0.012407817983400515,-0.002838593469809969
0.971,0.9989528795811519,0.9436201780415431,0.970498474059003,0.9940011491390459,0.9948880417913823,2022,1978,gradient_boosting,compliance_violation_early_warning,9,45,mean_invalid_attempt_gap_s,0.0005086469989826758,8.626043751291945e-06
0.954,0.9761658031088083,0.9317507418397626,0.9534412955465587,0.9887376372541077,0.9905931195686641,2022,1978,logistic_regression,compliance_violation_early_warning,9,45,channel_is_sms,0.0003360990953545917,-8.025971142522348e-05
0.9705,0.9984293193717277,0.9431256181998022,0.9699898270600203,0.994004024486963,0.9948732972900982,2022,1978,gradient_boosting,compliance_violation_early_warning,9,45,channel_is_sms,0.0,1.150139166838926e-05
0.9555,0.9925213675213675,0.9188921859545005,0.9542886492039034,0.9645374590325431,0.9770354784483222,2022,1978,logistic_regression,compliance_violation_early_warning,9,45,fraction_observed,0.0011834527526993766,-0.02428043793298984
0.97125,1.0,0.9431256181998022,0.9707304657673709,0.9823221109754281,0.9866988158959469,2022,1978,gradient_boosting,compliance_violation_early_warning,9,45,fraction_observed,0.0007406387073505272,-0.011670412119866524
0.95375,0.9766476388168137,0.9307616221562809,0.9531526968852874,0.9888076457251327,0.9906785074186167,2022,1978,logistic_regression,compliance_violation_early_warning,10,46,(none - full feature set),0.0,0.0
0.97075,0.998952331063384,0.9431256181998022,0.9702365810226405,0.993843380048986,0.9946675313841182,2022,1978,gradient_boosting,compliance_violation_early_warning,10,46,(none - full feature set),0.0,0.0
0.8,1.0,0.6043521266073195,0.7533908754623921,0.8242777376062503,0.8772832516450061,2022,1978,logistic_regression,compliance_violation_early_warning,9,46,n_invalid_so_far,-0.19976182142289522,-0.16452990811888235
0.9615,0.9824380165289256,0.9406528189910979,0.9610914603335018,0.9918148846010367,0.9930426520821515,2022,1978,gradient_boosting,compliance_violation_early_warning,9,46,n_invalid_so_far,-0.009145120689138753,-0.0020284954479492523
0.90175,0.998165137614679,0.8071216617210683,0.8925348646431501,0.9225481283235271,0.9474307908681323,2022,1978,logistic_regression,compliance_violation_early_warning,9,46,n_valid_so_far,-0.06061783224213724,-0.06625951740160563
0.90575,0.9957805907172996,0.8170128585558852,0.8975821787557728,0.952019194322513,0.9631208646314925,2022,1978,gradient_boosting,compliance_violation_early_warning,9,46,n_valid_so_far,-0.0726544022668677,-0.04182418572647295
0.89175,0.9676280164802825,0.8130563798219584,0.8836334318731524,0.9297855040459896,0.9541643599981031,2022,1978,logistic_regression,compliance_violation_early_warning,9,46,n_reissues_so_far,-0.06951926501213501,-0.0590221416791431
0.97075,0.998952331063384,0.9431256181998022,0.9702365810226405,0.994331189073878,0.9947154477280256,2022,1978,gradient_boosting,compliance_violation_early_warning,9,46,n_reissues_so_far,0.0,0.0004878090248919831
0.952,0.9736024844720497,0.93026706231454,0.9514415781487102,0.9890866794882182,0.9908166660907582,2022,1978,logistic_regression,compliance_violation_early_warning,9,46,max_time_offset_so_far,-0.001711118736577144,0.0002790337630854678
0.9705,0.9984293193717277,0.9431256181998022,0.9699898270600203,0.9929583979661539,0.9938910782142636,2022,1978,gradient_boosting,compliance_violation_early_warning,9,46,max_time_offset_so_far,-0.0002467539626201942,-0.0008849820828320532
0.82625,0.915466499686913,0.7230464886251237,0.8079579994473611,0.8877621692224759,0.9188081209503651,2022,1978,logistic_regression,compliance_violation_early_warning,9,46,any_cross_session_so_far,-0.14519469743792623,-0.10104547650265683
0.86675,0.986919555264879,0.7462908011869436,0.8499014362151507,0.9369927511228859,0.9501523160968683,2022,1978,gradient_boosting,compliance_violation_early_warning,9,46,any_cross_session_so_far,-0.12033514480748986,-0.056850628926100044
0.954,0.9771547248182763,0.9307616221562809,0.9533941236068896,0.9887943941216887,0.9906711270367832,2022,1978,logistic_regression,compliance_violation_early_warning,9,46,any_valid_after_reissue_so_far,0.00024142672160221146,-1.3251603444008886e-05
0.97075,0.998952331063384,0.9431256181998022,0.9702365810226405,0.9937394924785898,0.9945940057817755,2022,1978,gradient_boosting,compliance_violation_early_warning,9,46,any_valid_after_reissue_so_far,0.0,-0.00010388757039614394
0.9535,0.9766355140186916,0.93026706231454,0.952887537993921,0.9866501346662947,0.9893477398590509,2022,1978,logistic_regression,compliance_violation_early_warning,9,46,any_valid_near_or_after_ttl_so_far,-0.0002651588913663572,-0.002157511058837991
0.97075,0.998952331063384,0.9431256181998022,0.9702365810226405,0.9938298784152882,0.9946553812767686,2022,1978,gradient_boosting,compliance_violation_early_warning,9,46,any_valid_near_or_after_ttl_so_far,0.0,-1.3501633697732274e-05
0.94225,0.9690937663698271,0.9149357072205737,0.9412363266344441,0.9860495619970018,0.9881612284256864,2022,1978,logistic_regression,compliance_violation_early_warning,9,46,mean_invalid_attempt_gap_s,-0.011916370250843245,-0.002758083728130911
0.971,0.999475890985325,0.9431256181998022,0.9704834605597964,0.9940089000769093,0.9946737518056534,2022,1978,gradient_boosting,compliance_violation_early_warning,9,46,mean_invalid_attempt_gap_s,0.000246879537155853,0.0001655200279233604
0.954,0.9766597510373444,0.9312561819980217,0.9534177215189873,0.9887376372541077,0.9905954906198653,2022,1978,logistic_regression,compliance_violation_early_warning,9,46,channel_is_sms,0.00026502463369992846,-7.000847102500707e-05
0.97075,0.998952331063384,0.9431256181998022,0.9702365810226405,0.9941895469351791,0.9948290645772154,2022,1978,gradient_boosting,compliance_violation_early_warning,9,46,channel_is_sms,0.0,0.0003461668861931555
0.95525,0.9919914575547251,0.9188921859545005,0.9540436456996149,0.9643964419694783,0.9769652545908049,2022,1978,logistic_regression,compliance_violation_early_warning,9,46,fraction_observed,0.0008909488143274968,-0.02441120375565442
0.9715,1.0,0.9436201780415431,0.9709923664122138,0.9821498401306558,0.9867839254549902,2022,1978,gradient_boosting,compliance_violation_early_warning,9,46,fraction_observed,0.0007557853895732158,-0.01169353991833022
0.954,0.9771547248182763,0.9307616221562809,0.9533941236068896,0.9888434000514061,0.9906965924477038,2022,1978,logistic_regression,compliance_violation_early_warning,10,47,(none - full feature set),0.0,0.0
0.97075,0.998952331063384,0.9431256181998022,0.9702365810226405,0.9938726335886642,0.994583628940674,2022,1978,gradient_boosting,compliance_violation_early_warning,10,47,(none - full feature set),0.0,0.0
0.8,1.0,0.6043521266073195,0.7533908754623921,0.8222627437919987,0.8767136435224088,2022,1978,logistic_regression,compliance_violation_early_warning,9,47,n_invalid_so_far,-0.20000324814449744,-0.16658065625940743
0.962,0.9829545454545454,0.9411473788328387,0.9615967660434563,0.9919301485479743,0.9930021199578792,2022,1978,gradient_boosting,compliance_violation_early_warning,9,47,n_invalid_so_far,-0.008639814979184202,-0.0019424850406898342
0.902,0.9975579975579976,0.80811078140455,0.892896174863388,0.9225033729081219,0.9474184670300992,2022,1978,logistic_regression,compliance_violation_early_warning,9,47,n_valid_so_far,-0.06049794874350156,-0.06634002714328424
0.90625,0.9969824984912492,0.8170128585558852,0.8980701277521066,0.9527615341456317,0.9638163451431935,2022,1978,gradient_boosting,compliance_violation_early_warning,9,47,n_valid_so_far,-0.07216645327053395,-0.041111099443032484
0.8925,0.9676850763807285,0.814540059347181,0.8845327604726101,0.9299532743461958,0.9542445208853313,2022,1978,logistic_regression,compliance_violation_early_warning,9,47,n_reissues_so_far,-0.06886136313427949,-0.05889012570521035
