accuracy,precision,recall,f1,roc_auc,pr_auc,support_positive,support_negative,model,experiment,n_features,seed,disabled_control,violation_rate,delta_violation_rate,delta_f1,delta_roc_auc
0.9525,0.9779063650710152,0.9262580966616841,0.951381780962129,0.9878031005879823,0.9897172617336224,2007,1993,logistic_regression,compliance_violation_early_warning,10,48,(none - all controls active),0.50175,0.0,0.0,0.0
0.97,1.0,0.9402092675635276,0.9691833590138675,0.9942283042967277,0.9945718292992378,2007,1993,gradient_boosting,compliance_violation_early_warning,10,48,(none - all controls active),0.50175,0.0,0.0,0.0
0.99975,1.0,0.9993690851735015,0.9996844430419691,0.9999986937581231,0.9999980159911117,1585,2415,logistic_regression,compliance_violation_early_warning,10,48,replayRejected,0.39625,-0.10550000000000004,0.04830266207984013,0.01219559317014085
0.9995,0.9993690851735015,0.9993690851735015,0.9993690851735015,0.9994321766561515,0.9996190851735015,1585,2415,gradient_boosting,compliance_violation_early_warning,10,48,replayRejected,0.39625,-0.10550000000000004,0.030185726159633997,0.005203872359423767
0.95175,0.9623762376237623,0.9146800501882058,0.9379221614667096,0.9877486334352326,0.9846062374757628,1594,2406,logistic_regression,compliance_violation_early_warning,10,48,expiryBoundaryEnforced,0.3985,-0.10325000000000001,-0.013459619495419406,-5.446715274970426e-05
0.96975,0.9993220338983051,0.9247176913425345,0.9605734767025089,0.9935749814088785,0.9912084802047234,1594,2406,gradient_boosting,compliance_violation_early_warning,10,48,expiryBoundaryEnforced,0.3985,-0.10325000000000001,-0.008609882311358619,-0.0006533228878492503
0.97025,1.0,0.9259950248756219,0.9615757184371972,0.9936136624569459,0.9916936344655116,1608,2392,logistic_regression,compliance_violation_early_warning,10,48,attemptLockoutEnforced,0.402,-0.09975,0.010193937475068249,0.005810561868963671
0.9695,0.9979892761394102,0.9259950248756219,0.9606451612903226,0.9948479540008985,0.9930396046894634,1608,2392,gradient_boosting,compliance_violation_early_warning,10,48,attemptLockoutEnforced,0.402,-0.09975,-0.008538197723544916,0.0006196497041708326
0.9505,0.9632968448164843,0.9138668295662797,0.9379310344827586,0.9879358290650171,0.985489067676003,1637,2363,logistic_regression,compliance_violation_early_warning,10,48,sessionBindingEnforced,0.40925,-0.09250000000000003,-0.01345074647937039,0.00013272847703482693
0.96975,0.9993412384716732,0.9266951740989615,0.961648177496038,0.9945301870544959,0.9928159375620821,1637,2363,gradient_boosting,compliance_violation_early_warning,10,48,sessionBindingEnforced,0.40925,-0.09250000000000003,-0.007535181517829503,0.0003018827577682126
0.95,0.9594240837696335,0.9139650872817955,0.9361430395913155,0.9877924137902322,0.9849033589103403,1604,2396,logistic_regression,compliance_violation_early_warning,10,48,supersessionEnforced,0.401,-0.10075,-0.015238741370813491,-1.0686797750070198e-05
0.96925,0.9979825151311366,0.9251870324189526,0.9602070527337431,0.9940862836647945,0.9918589442515054,1604,2396,gradient_boosting,compliance_violation_early_warning,10,48,supersessionEnforced,0.401,-0.10075,-0.008976306280124469,-0.00014202063193324843
0.95425,0.9791889007470651,0.9272359777665488,0.9525045419153906,0.9874371149419223,0.9892149141306146,1979,2021,logistic_regression,compliance_violation_early_warning,10,49,(none - all controls active),0.49475,0.0,0.0,0.0
0.97,0.999462654486835,0.9398686205154119,0.96875,0.9938678239275881,0.9941110189316142,1979,2021,gradient_boosting,compliance_violation_early_warning,10,49,(none - all controls active),0.49475,0.0,0.0,0.0
0.99875,1.0,0.9968730456535334,0.998434074538052,0.9999921858700214,0.9999883270852434,1599,2401,logistic_regression,compliance_violation_early_warning,10,49,replayRejected,0.39975,-0.09500000000000003,0.04592953262266142,0.012555070928099044
0.9995,1.0,0.9987492182614134,0.9993742177722152,0.9989756977952955,0.9993078588287453,1599,2401,gradient_boosting,compliance_violation_early_warning,10,49,replayRejected,0.39975,-0.09500000000000003,0.030624217772215245,0.005107873867707391
0.9525,0.9618671926364234,0.9172413793103448,0.9390243902439024,0.9872882383227211,0.984249445067543,1595,2405,logistic_regression,compliance_violation_early_warning,10,49,expiryBoundaryEnforced,0.39875,-0.09600000000000003,-0.013480151671488194,-0.00014887661920126583
0.97,0.9986477349560514,0.9260188087774295,0.9609629147690306,0.9934342637790914,0.991192657981983,1595,2405,gradient_boosting,compliance_violation_early_warning,10,49,expiryBoundaryEnforced,0.39875,-0.09600000000000003,-0.007787085230969382,-0.0004335601484967144
0.97125,0.9993093922651933,0.9269698910954516,0.961781322698571,0.9936852539569598,0.9914027262621616,1561,2439,logistic_regression,compliance_violation_early_warning,10,49,attemptLockoutEnforced,0.39025,-0.10450000000000004,0.009276780783180394,0.006248139015037513
0.9705,0.9965588437715073,0.9276105060858424,0.9608493696084937,0.9944242331596922,0.9921486098483167,1561,2439,gradient_boosting,compliance_violation_early_warning,10,49,attemptLockoutEnforced,0.39025,-0.10450000000000004,-0.007900630391506347,0.0005564092321040937
0.95,0.9554973821989529,0.9170854271356784,0.9358974358974359,0.987165113357485,0.9840828016713349,1592,2408,logistic_regression,compliance_violation_early_warning,10,49,sessionBindingEnforced,0.398,-0.09675,-0.016607106017954676,-0.00027200158443729805
0.96925,0.997291807718348,0.925251256281407,0.9599217986314761,0.9937032024741649,0.9914895628182548,1592,2408,gradient_boosting,compliance_violation_early_warning,10,49,sessionBindingEnforced,0.398,-0.09675,-0.008828201368523914,-0.00016462145342321932
0.948,0.948582729070534,0.917144678138942,0.932598833441348,0.9869601773774532,0.9835232462525326,1569,2431,logistic_regression,compliance_violation_early_warning,10,49,supersessionEnforced,0.39225,-0.10250000000000004,-0.019905708474042605,-0.0004769375644690932
0.96925,0.9972489683631361,0.9241555130656469,0.959311941779689,0.9936296598089421,0.9911331327832377,1569,2431,gradient_boosting,compliance_violation_early_warning,10,49,supersessionEnforced,0.39225,-0.10250000000000004,-0.009438058220310963,-0.0002381641186459671
0.95675,0.9809725158562368,0.9312594079277471,0.9554697554697554,0.9888528634475773,0.990436318884437,1993,2007,logistic_regression,compliance_violation_early_warning,10,50,(none - all controls active),0.49825,0.0,0.0,0.0
0.971,0.998936735778841,0.9427997992975414,0.9700567888487351,0.994532683025367,0.9948015874301439,1993,2007,gradient_boosting,compliance_violation_early_warning,10,50,(none - all controls active),0.49825,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1593,2407,logistic_regression,compliance_violation_early_warning,10,50,replayRejected,0.39825,-0.10000000000000003,0.04453024453024457,0.01114713655242272
1.0,1.0,1.0,1.0,1.0,1.0,1593,2407,gradient_boosting,compliance_violation_early_warning,10,50,replayRejected,0.39825,-0.10000000000000003,0.02994321115126486,0.005467316974632985
0.95475,0.9632786885245902,0.9215809284818067,0.9419685796729721,0.9888163843840836,0.9858793881067439,1594,2406,logistic_regression,compliance_violation_early_warning,10,50,expiryBoundaryEnforced,0.3985,-0.09975,-0.013501175796783338,-3.647906349368846e-05
0.9715,1.0,0.9284818067754078,0.962914769030579,0.9941543568932123,0.9921141346481315,1594,2406,gradient_boosting,compliance_violation_early_warning,10,50,expiryBoundaryEnforced,0.3985,-0.09975,-0.007142019818156098,-0.000378326132154716
0.9715,1.0,0.9283018867924528,0.9628180039138943,0.9941334585975625,0.9921385375915923,1590,2410,logistic_regression,compliance_violation_early_warning,10,50,attemptLockoutEnforced,0.3975,-0.10075,0.0073482484441388385,0.0052805951499852455
0.9705,0.9972972972972973,0.9283018867924528,0.9615635179153095,0.9946199013544195,0.9926018122173722,1590,2410,gradient_boosting,compliance_violation_early_warning,10,50,attemptLockoutEnforced,0.3975,-0.10075,-0.008493270933425667,8.721832905245197e-05
0.95675,0.966821499668215,0.9221518987341772,0.9439585357952704,0.9889494193953343,0.985941962537132,1580,2420,logistic_regression,compliance_violation_early_warning,10,50,sessionBindingEnforced,0.395,-0.10325000000000001,-0.011511219674484985,9.655594775703769e-05
0.9715,1.0,0.9278481012658227,0.9625738673670388,0.9943177895177321,0.992181479801823,1580,2420,gradient_boosting,compliance_violation_early_warning,10,50,sessionBindingEnforced,0.395,-0.10325000000000001,-0.007482921481696381,-0.00021489350763492787
0.95675,0.9681818181818181,0.923219814241486,0.9451664025356576,0.9889707991770029,0.9864258733693284,1615,2385,logistic_regression,compliance_violation_early_warning,10,50,supersessionEnforced,0.40375,-0.09450000000000003,-0.010303352934097787,0.00011793572942564445
0.9715,1.0,0.9294117647058824,0.9634146341463414,0.9945834063516171,0.9926959936778084,1615,2385,gradient_boosting,compliance_violation_early_warning,10,50,supersessionEnforced,0.40375,-0.09450000000000003,-0.00664215470239371,5.072332625011278e-05
0.956,0.9756888168557536,0.9323696437790397,0.9535374868004224,0.9879162599088945,0.9893482957717232,1937,2063,logistic_regression,compliance_violation_early_warning,10,51,(none - all controls active),0.48425,0.0,0.0,0.0
0.9745,0.9994556341861731,0.9478575116159009,0.972972972972973,0.9956365453621355,0.9955643341039633,1937,2063,gradient_boosting,compliance_violation_early_warning,10,51,(none - all controls active),0.48425,0.0,0.0,0.0
0.9995,1.0,0.998703823720026,0.9993514915693904,0.9999931419244447,0.9999892033881854,1543,2457,logistic_regression,compliance_violation_early_warning,10,51,replayRejected,0.38575,-0.09850000000000003,0.04581400476896802,0.012076882015550128
0.9995,1.0,0.998703823720026,0.9993514915693904,0.9988351822441258,0.9992043242205264,1543,2457,gradient_boosting,compliance_violation_early_warning,10,51,replayRejected,0.38575,-0.09850000000000003,0.026378518596417377,0.003198636881990291
0.9495,0.9456233421750663,0.9223803363518758,0.933857236411264,0.9879160775606213,0.9844476104710584,1546,2454,logistic_regression,compliance_violation_early_warning,10,51,expiryBoundaryEnforced,0.3865,-0.09775,-0.019680250389158438,-1.8234827325880332e-07
